Sigla,Código,Município,Domicílios - com água encanada - pessoas (2000),Domicílios - com energia elétrica - pessoas (2000),Domicílios - com telefone - pessoas (2000),Domicílios - com carro - pessoas (2000),Domicílios - com computador - pessoas (2000),Domícilios - número (2000),
SC,4203006,Caçador,94.865,98.456,33.194,42.125,7.821,17492,
SC,4203105,Caibi,92.471,97.481,25.361,45.13,4.387,1714,
SC,4203154,Calmon,80,78.051,6.934,24.181,1.276,825,
SC,4203204,Camboriú,91.281,99.594,31.714,37.92,4.568,11042,
SC,4203253,Capão Alto,89.437,86.401,9.797,43.908,0.95,879,
SC,4203303,Campo Alegre,91.235,98.082,17.675,48.683,3.312,3140,
SC,4203402,Campo Belo do Sul,90.485,82.868,13.839,33.74,1.5,2095,
SC,4203501,Campo Erê,83.933,88.771,23.079,28.132,4.474,2684,
SC,4203600,Campos Novos,94.165,97.37,35.929,42.891,7.454,8063,
SC,4203709,Canelinha,96.695,99.938,31.177,42.878,5.096,2486,
SC,4203808,Canoinhas,89.872,96.957,34.594,40.019,6.753,13809,
SC,4203907,Capinzal,98.108,99.012,34.591,49.589,9.763,5766,
SC,4203956,Capivari de Baixo,99.423,99.994,26.188,45.461,10.662,5372,
SC,4204004,Catanduvas,96.986,99.241,29.15,44.562,7.756,2239,
SC,4204103,Caxambu do Sul,88.784,91.998,24.714,39.49,2.414,1385,
SC,4204152,Celso Ramos,91.041,93.675,14.806,45.103,2.43,761,
SC,4204178,Cerro Negro,70.501,57.793,6.221,30.227,0.772,1032,
SC,4204194,Chapadão do Lageado,98.338,98.927,15.071,49.789,2.226,663,
SC,4204202,Chapecó,95.895,97.92,39.893,50.26,12.918,42271,
SC,4204251,Cocal do Sul,99.494,99.964,40.933,63.261,11.817,3763,
SC,4204301,Concórdia,97.499,99.384,48.57,58.494,10.603,18357,
SC,4204350,Cordilheira Alta,93.71,98.936,32.274,60.112,2.535,783,
SC,4204400,Coronel Freitas,93.801,97.459,24.903,47.321,4.649,2692,
SC,4204459,Coronel Martins,84.772,93.646,18.384,48.471,1.429,598,
SC,4204509,Corupá,97.933,99.227,36.019,52.95,6.072,3392,
SC,4204558,Correia Pinto,93.158,96.398,26.431,51.385,6.579,4278,
SC,4204608,Criciúma,98.699,99.955,49.75,57.943,16.711,48565,
SC,4204707,Cunha Porã,96.037,97.94,24.215,48.789,5.404,3048,
SC,4204756,Cunhataí,92.873,99.307,25.097,55.823,2.971,464,
SC,4204806,Curitibanos,92.44,98.023,27.638,44.82,7.347,10071,
SC,4204905,Descanso,95.087,98.502,28.34,48.525,3.469,2390,
SC,4205001,Dionísio Cerqueira,78.745,91.32,22.22,33.795,3.481,3808,
SC,4205100,Dona Emma,98.967,99.841,28.35,57.7,5.775,901,
SC,4205159,Doutor Pedrinho,97.735,99.754,39.235,62.936,7.072,895,
SC,4205175,Entre Rios,53.143,49.06,3.505,20.732,0.698,730,
SC,4205191,Ermo,97.582,99.828,24.111,46.763,3.081,583,
SC,4205209,Erval Velho,95.798,98.709,27.835,47.944,5.871,1247,
SC,4205308,Faxinal dos Guedes,90.683,96.174,32.497,47.753,6.296,2829,
SC,4205357,Flor do Sertão,81.796,91.468,8.786,33.645,1.499,413,
SC,4205407,Florianópolis,98.987,99.897,74.589,57.914,33.614,106138,
SC,4205431,Formosa do Sul,86.463,92.457,17.52,44.095,2.611,697,
SC,4205456,Forquilhinha,99.048,99.715,29.35,51.839,5.453,4979,
SC,4205506,Fraiburgo,95.649,97.982,26.432,41.23,8.974,8936,
SC,4205555,Frei Rogério,90.137,95.235,13.358,42.3,1.443,769,
SC,4205605,Galvão,88.131,88.8,23.553,38.277,3.685,1136,
SC,4205704,Garopaba,98.908,99.977,25.771,38.629,7.799,3810,
SC,4205803,Garuva,97.759,99.305,20.337,36.08,3.501,2928,
SC,4205902,Gaspar,99.595,99.971,46.405,60.49,12.194,13166,
SC,4206009,Governador Celso Ramos,99.79,99.467,35.376,37.278,4.481,3347,
SC,4206108,Grão Pará,99.394,99.869,22.776,62.346,5.459,1490,
SC,4206207,Gravatal,95.723,99.955,28,48.874,5.631,3163,
SC,4206306,Guabiruba,99.205,99.34,25.901,71.577,8.294,3670,
SC,4206405,Guaraciaba,91.84,97.839,28.658,48.642,3.966,2898,
SC,4206504,Guaramirim,98.738,99.685,24.09,54.354,7.593,6584,
SC,4206603,Guarujá do Sul,91.019,98.495,20.738,36.33,4.634,1330,
SC,4206652,Guatambú,86.204,89.39,15.659,35.467,2.031,1256,
SC,4206702,Herval d'Oeste,97.643,98.542,38.816,44.541,9.151,5786,
SC,4206751,Ibiam,96.282,98.396,25.413,49.292,3.116,537,
SC,4206801,Ibicaré,98.254,99.646,28.904,56.247,4.159,1036,
SC,4206900,Ibirama,98.226,99.67,37.879,61.246,9.999,4470,
SC,4207007,Içara,98.883,99.951,39.095,53.342,6.817,13386,
SC,4207106,Ilhota,99.019,99.631,14.133,50.65,4.061,2972,
SC,4207205,Imaruí,96.447,98.703,11.705,31.05,2.966,3914,
SC,4207304,Imbituba,97.687,99.789,42.593,40.887,10.278,10447,
SC,4207403,Imbuia,98.159,99.867,26.686,50.845,6.029,1413,
SC,4207502,Indaial,99.319,99.966,44.315,65.379,11.524,11491,
SC,4207577,Iomerê,99.033,99.586,43.762,65.089,7.835,738,
SC,4207601,Ipira,90.171,97.866,26.686,52.895,4.263,1415,
SC,4207650,Iporã do Oeste,93.856,98.659,21.201,51.129,5.721,2097,
SC,4207684,Ipuaçu,64.196,59.75,11.217,26.881,2.055,1529,
SC,4207700,Ipumirim,94.409,99.151,32.864,48.972,4.133,1883,
SC,4207759,Iraceminha,89.9,95.333,15.948,47.431,2.672,1214,
SC,4207809,Irani,95.278,97.852,21.614,44.038,4.363,2247,
SC,4207858,Irati,85.766,92.109,15.659,37.792,1.659,557,
SC,4207908,Irineópolis,81.065,92.218,10.571,38.553,2.626,2482,
SC,4208005,Itá,95,99.132,39.644,56.175,10.645,1830,
SC,4208104,Itaiópolis,85.014,92.355,13.63,38.971,2.792,4959,
SC,4208203,Itajaí,98.198,99.797,53.957,48.242,13.764,42048,
SC,4208302,Itapema,99.35,99.899,22.024,47.224,12.056,7578,
SC,4208401,Itapiranga,94.513,98.163,24.579,46.202,6.769,3702,
SC,4208450,Itapoá,94.568,97.606,35.218,35.783,6.393,2584,
SC,4208500,Ituporanga,99.105,99.734,40.203,59.036,11.031,5295,
SC,4208609,Jaborá,98.671,99.341,33.888,52.313,4.888,1131,
SC,4208708,Jacinto Machado,98.064,99.977,27.168,43.05,3.377,3015,
SC,4208807,Jaguaruna,99.211,99.858,21.047,50.056,5.771,4213,
SC,4208906,Jaraguá do Sul,98.406,99.913,48.78,65.203,15.664,30964,
SC,4208955,Jardinópolis,92.184,95.951,19.205,44.903,2.218,502,
SC,4209003,Joaçaba,98.83,99.56,73.62,58.626,18.169,7196,
SC,4209102,Joinville,98.337,99.707,62.182,54.418,15.202,121595,
SC,4209151,José Boiteux,97.189,98.957,16.558,46.64,3.148,1110,
SC,4209177,Jupiá,85.766,88.888,13.743,45.195,1.299,584,
SC,4209201,Lacerdópolis,98.932,99.755,53.891,67.211,6.736,568,
SC,4209300,Lages,97.534,99.162,48.336,48.556,12.629,43515,
SC,4209409,Laguna,95.436,99.59,29.705,32.592,7.603,14384,
SC,4209458,Lajeado Grande,88.482,95.41,34.398,55.947,2.313,397,
SC,4209508,Laurentino,99.166,99.909,38.269,63.468,9.328,1476,
SC,4209607,Lauro Muller,99.293,99.853,28.54,46.909,6.321,3827,
SC,4209706,Lebon Régis,82.803,88.102,10.873,29.558,2.656,3023,
SC,4209805,Leoberto Leal,96.429,99.059,14.781,43.599,1.857,984,
SC,4209854,Lindóia do Sul,94.266,98.038,38.913,58.426,2.491,1277,
SC,4209904,Lontras,98.747,99.546,20.363,48.609,5.285,2410,
SC,4210001,Luiz Alves,99.149,99.56,27.759,69.795,6.124,2123,
SC,4210035,Luzerna,99.075,99.785,42.669,60.125,10.676,1628,
SC,4210050,Macieira,92.692,97.102,15.974,48.955,1.996,522,
SC,4210100,Mafra,93.41,98.062,35.633,49.625,8.265,13791,
SC,4210209,Major Gercino,99.004,99.778,18.135,51.996,2.238,908,
SC,4210308,Major Vieira,67.189,86.959,14.77,31.773,2.708,1861,
SC,4210407,Maracajá,97.594,99.765,25.381,43.393,4.609,1576,
SC,4210506,Maravilha,96.732,98.9,34.728,47.122,8.299,5440,
SC,4210555,Marema,90.665,95.266,29.988,52.822,2.417,639,
SC,4210605,Massaranduba,98.714,99.523,32.792,67.176,5.887,3483,
SC,4210704,Matos Costa,82.56,88.018,12.678,34.434,2.152,846,
SC,4210803,Meleiro,97.895,99.966,33.764,52.632,5.537,1951,
SC,4210852,Mirim Doce,97.361,98.827,26.314,48.882,4.25,732,
SC,4210902,Modelo,93.084,97.093,26.455,45.105,5.579,1077,
SC,4211009,Mondaí,87.442,97.759,17.433,38.522,3.935,2412,
SC,4211058,Monte Carlo,94.239,96.564,17.481,26.613,3.907,2238,
SC,4211108,Monte Castelo,73.1,91.348,17.273,29.361,2.692,2169,
SC,4211207,Morro da Fumaça,99.363,99.994,34.561,56.807,8.128,3931,
SC,4211256,Morro Grande,98.733,99.932,20.929,48.747,2.053,792,
SC,4211306,Navegantes,98.376,99.388,25.131,32.125,6.251,10966,
SC,4211405,Nova Erechim,97.543,99.162,38.883,53.428,6.678,956,
SC,4211454,Nova Itaberaba,88.026,95.886,25.868,45.175,1.53,1104,
SC,4211504,Nova Trento,99.351,99.67,28.158,58.118,8.445,2813,
SC,4211603,Nova Veneza,99.17,99.626,31.164,59.466,8.479,3048,
SC,4211652,Novo Horizonte,89.646,95.492,18.452,44.37,1.113,797,
SC,4211702,Orleans,97.912,99.85,31.28,61.855,8.904,5498,
SC,4211751,Otacílio Costa,97.571,98.695,41.226,50.719,9.458,4031,
SC,4211801,Ouro,98.819,99.545,49.758,62.911,6.106,2048,
SC,4211850,Ouro Verde,96.266,97.285,21.605,51.965,3.573,619,
SC,4211876,Paial,85.385,95.787,16.374,44.1,2.063,520,
SC,4211892,Painel,82.389,92.667,15.204,44.166,1.131,662,
SC,4211900,Palhoça,98.876,99.88,32.275,47.159,8.459,28036,
SC,4212007,Palma Sola,86.621,94.181,12.491,32.583,3.216,2095,
SC,4212056,Palmeira,73.729,89.593,11.633,41.45,2.631,623,
SC,4212106,Palmitos,92.599,97.424,31.448,46.205,6.364,4590,
SC,4212205,Papanduva,77.906,93.194,15.837,31.949,2.562,4364,
SC,4212239,Paraíso,84.132,96.753,14.485,34.534,1.709,1217,
SC,4212254,Passo de Torres,97.871,99.888,27.718,37.243,5.202,1278,
SC,4212270,Passos Maia,82.28,79.914,14.247,30.867,2.119,1168,
SC,4212304,Paulo Lopes,99.26,99.705,18.092,36.211,3.611,1633,
SC,4212403,Pedras Grandes,99.419,99.899,25.653,59.731,3.267,1385,
SC,4212502,Penha,98.838,99.441,32.751,39.058,6.245,5158,
SC,4212601,Peritiba,96.734,99.613,28.879,58.802,5.507,889,
SC,4212650,Pescaria Brava,,,,,,,
SC,4212700,Petrolândia,98.13,99.505,25.543,51.827,5.446,1714,
SC,4212809,Piçarras,96.868,99.84,48.146,41.521,9.402,3113,
SC,4212908,Pinhalzinho,96.877,97.509,36.58,49.37,10.343,3431,
SC,4213005,Pinheiro Preto,99.045,99.483,41.496,59.686,9.682,734,
SC,4213104,Piratuba,78.193,96.832,31.626,54.5,7.18,2345,
SC,4213153,Planalto Alegre,88.959,96.673,21.094,43.705,3.057,635,
SC,4213203,Pomerode,99.048,99.996,39.796,73.924,17.286,6216,
SC,4213302,Ponte Alta,93.414,97.078,19.266,33.936,2.734,1400,
SC,4213351,Ponte Alta do Norte,94.342,96.142,17.881,29.392,3.562,827,
SC,4213401,Ponte Serrada,92.97,95.488,24.385,37.137,3.355,2813,
SC,4213500,Porto Belo,98.288,99.237,28.493,40.015,7.555,3126,
SC,4213609,Porto União,96.657,97.668,29.713,46.322,12.28,9101,
SC,4213708,Pouso Redondo,94.985,98.107,22.926,44.454,4.671,3326,
SC,4213807,Praia Grande,89.819,99.85,20.445,39.669,3.118,2162,
SC,4213906,Presidente Castelo Branco,95.238,98.689,34.144,63.116,3.876,550,
SC,4214003,Presidente Getúlio,98.409,99.934,31.432,64.283,8.498,3447,
SC,4214102,Presidente Nereu,98.896,99.017,18.04,47.305,3.338,640,
SC,4214151,Princesa,83.384,92.321,11.096,34.229,1.113,668,
SC,4214201,Quilombo,94.148,95.621,24.382,45.717,5.081,2746,
SC,4214300,Rancho Queimado,97.127,99.673,25.133,54.037,5.043,742,
SC,4214409,Rio das Antas,95.473,98.857,24.457,52.452,3.513,1697,
SC,4214508,Rio do Campo,94.225,98.337,23.542,51.432,4.078,1740,
SC,4214607,Rio do Oeste,99.017,99.82,31.643,62.292,6.613,1892,
SC,4214706,Rio dos Cedros,90.62,98.789,26.47,65.383,9.191,2497,
SC,4214805,Rio do Sul,99.399,99.942,47.728,63.897,15.861,15354,
SC,4214904,Rio Fortuna,98.059,99.858,25.367,70.191,5.743,1086,
SC,4215000,Rio Negrinho,96.681,98.571,40.559,45.771,6.793,10008,
SC,4215059,Rio Rufino,77.835,86.028,13.931,38.162,1.526,620,
SC,4215075,Riqueza,84.199,96.551,15.419,39.456,1.951,1362,
SC,4215109,Rodeio,99.457,99.927,32.898,62.778,12.243,3023,
SC,4215208,Romelândia,84.785,92.535,11.497,30.289,1.669,1773,
SC,4215307,Salete,98.732,99.902,21.452,52.289,7.14,1905,
SC,4215356,Saltinho,73.154,81.222,11.722,29.894,1.671,1021,
SC,4215406,Salto Veloso,99.041,99.319,33.6,54.318,8.204,1043,
SC,4215455,Sangão,98.716,99.941,26.506,47.583,3.698,2122,
SC,4215505,Santa Cecília,84.664,93.831,13.965,32.842,3.956,3836,
SC,4215554,Santa Helena,91.916,98.071,15.02,44.555,2.501,669,
SC,4215604,Santa Rosa de Lima,93.199,99.683,18.788,60.701,3.326,493,
SC,4215653,Santa Rosa do Sul,98.157,98.902,20.472,41.689,2.575,2256,
SC,4215679,Santa Terezinha,71.315,89.472,7.395,32.509,1.127,2047,
SC,4215687,Santa Terezinha do Progresso,72.59,86.688,9.031,30.671,0.871,874,
SC,4215695,Santiago do Sul,85.749,93.144,14.742,43.523,1.15,416,
SC,4215703,Santo Amaro da Imperatriz,99.212,99.738,38.247,56.051,8.861,4384,
SC,4215752,São Bernardino,81.414,91.088,11.479,34.123,1.82,765,
SC,4215802,São Bento do Sul,98.267,99.312,36.452,56.926,12.372,17830,
SC,4215901,São Bonifácio,95.034,99.887,20.854,59.442,2.352,891,
SC,4216008,São Carlos,92.27,97.521,25.983,46.493,6.161,2660,
SC,4216057,São Cristovão do Sul,93.394,97.298,12.786,37.1,2.889,1500,
SC,4216107,São Domingos,85.659,96.342,32.802,45.652,5.359,2611,
SC,4216206,São Francisco do Sul,96.969,98.103,49.763,39.005,7.61,9367,
SC,4216255,São João do Oeste,98.533,99.247,26.304,53.625,4.358,1518,
SC,4216305,São João Batista,98.557,99.89,34.543,55.962,7.579,4328,
SC,4216354,São João do Itaperiú,98.339,99.603,22.783,43.025,2.323,855,
SC,4216404,São João do Sul,97.756,99.959,20.548,40.702,2.517,1983,
SC,4216503,São Joaquim,97.233,97.176,25.835,47.428,5.495,6557,
SC,4216602,São José,98.807,99.916,72.749,54.715,20.284,50908,
SC,4216701,São José do Cedro,89.373,96.872,32.616,44.836,4.769,3619,
SC,4216800,São José do Cerrito,83.915,78.174,6.789,28.614,1.185,2891,
SC,4216909,São Lourenço do Oeste,92.025,95.604,22.258,45.514,5.768,5341,
SC,4217006,São Ludgero,99.126,99.979,33.41,58.457,9.552,2297,
SC,4217105,São Martinho,98.25,99.883,24.87,58.462,3.683,866,
SC,4217154,São Miguel da Boa Vista,83.551,92.834,11.18,34.39,2.117,539,
SC,4217204,São Miguel do Oeste,96.809,99,42.658,52.263,10.499,9515,
SC,4217253,São Pedro de Alcântara,99.708,98.993,29.02,51.081,4.915,1086,
SC,4217303,Saudades,90.206,98.404,19.882,49.802,5.461,2116,
SC,4217402,Schroeder,97.548,99.616,30.44,55.533,7.286,2951,
SC,4217501,Seara,92.27,98.405,44.579,55.964,7.89,4470,
SC,4217550,Serra Alta,93.735,98.018,24.298,44.192,4.532,854,
SC,4217600,Siderópolis,99.513,99.992,50.341,59.252,10.535,3301,
SC,4217709,Sombrio,98.489,99.998,31.779,44.44,6.908,6617,
SC,4217758,Sul Brasil,86.061,92.748,12.643,36.906,2.337,804,
SC,4217808,Taió,97.413,99.609,23.626,51.724,8.827,4635,
SC,4217907,Tangará,95.815,99.076,29.027,56.238,6.486,2494,
SC,4217956,Tigrinhos,83.034,92.577,8.396,36.057,0.886,502,
SC,4218004,Tijucas,95.603,98.668,39.652,45.521,9.616,6769,
SC,4218103,Timbé do Sul,98.32,99.893,21.467,42.395,4.265,1506,
SC,4218202,Timbó,99.278,99.965,55.131,71.676,19.716,8489,
SC,4218251,Timbó Grande,74.138,76.831,5.6,23.15,2.331,1610,
SC,4218301,Três Barras,88.256,97.396,19.28,29.712,6.135,4382,
SC,4218350,Treviso,99.76,99.957,16.29,64.008,4.826,855,
SC,4218400,Treze de Maio,98.733,99.902,27.632,58.232,6.328,1818,
SC,4218509,Treze Tílias,97.068,98.333,41.775,54.102,8.678,1344,
SC,4218608,Trombudo Central,93.863,99.724,31.94,54.077,9.39,1680,
SC,4218707,Tubarão,99.609,99.808,51.47,59.282,18.192,26378,
SC,4218756,Tunápolis,95.326,99.333,21.947,44.471,4.061,1246,
SC,4218806,Turvo,98.488,99.966,37.987,58.49,7.664,3066,
SC,4218855,União do Oeste,88.693,95.948,26.434,45.194,4.04,857,
SC,4218905,Urubici,94.724,97.759,25.077,49.199,4.82,2822,
SC,4218954,Urupema,90.374,96.784,21.707,50.179,2.146,703,
SC,4219002,Urussanga,98.883,99.888,43.483,66.769,10.945,5293,
SC,4219101,Vargeão,94.967,96.498,31.236,49.854,5.421,930,
SC,4219150,Vargem,90.437,94.117,13.346,39.677,1.667,885,
SC,4219176,Vargem Bonita,94.19,98.821,28.911,41.401,5.98,1344,
SC,4219200,Vidal Ramos,98.964,98.383,23.696,52.191,4.381,1654,
SC,4219309,Videira,98.766,99.636,35.899,53.552,14.341,12048,
SC,4219358,Vitor Meireles,96.942,97.324,16.471,48.604,3.183,1319,
SC,4219408,Witmarsum,97.664,99.796,21.987,55.158,4.299,871,
SC,4219507,Xanxerê,96.229,97.688,39.378,51.524,11.198,10784,
SC,4219606,Xavantina,94.542,99.013,31.207,61.219,3.836,1088,
SC,4219705,Xaxim,94.531,97.146,38.636,51.221,7.444,6291,
SC,4219853,Zortéa,97.841,98.522,18.788,46.238,4.068,744,
SC,4220000,Balneário Rincão,,,,,,,
SC,4299919,São Miguel,,,,,,,
SE,2800100,Amparo de São Francisco,70.019,93.54,3.778,8.718,0.422,541,
SE,2800209,Aquidabã,73.751,89.659,5.562,9.453,2.06,4746,
SE,2800308,Aracaju,92.702,99.73,55.523,35.96,16.129,117827,
SE,2800407,Arauá,54.174,88.638,2.646,9.727,0.671,2177,
SE,2800506,Areia Branca,61.084,94.084,4.839,8.875,1.316,3645,
SE,2800605,Barra dos Coqueiros,78.211,98.388,8.649,11.178,1.485,4448,
SE,2800670,Boquim,59.282,94.2,5.271,13.07,1.204,5798,
SE,2800704,Brejo Grande,60.88,86.384,1.312,3.286,0.122,1651,
SE,2801009,Campo do Brito,51.957,96.826,8.17,12.993,1.212,4183,
SE,2801108,Canhoba,56.723,88.67,1.644,5.976,0.129,893,
SE,2801207,Canindé de São Francisco,56.67,76.539,1.857,8.874,1.224,3920,
SE,2801306,Capela,61.006,91.415,4.73,7.411,0.896,6403,
SE,2801405,Carira,52.161,73.476,4.06,9.141,0.43,4701,
SE,2801504,Carmópolis,82.402,97.495,3.964,12.583,0.728,2301,
SE,2801603,Cedro de São João,84.958,95.987,11.824,13.48,1.873,1436,
SE,2801702,Cristinápolis,44.544,82.259,2.365,6.69,0.889,3149,
SE,2801900,Cumbe,68.722,93.685,1.788,10.046,0.498,910,
SE,2802007,Divina Pastora,49.476,95.644,2.035,8.25,0.431,779,
SE,2802106,Estância,80.035,94.341,22.381,12.013,1.959,14401,
SE,2802205,Feira Nova,57.925,82.262,1.162,7.597,0.228,1231,
SE,2802304,Frei Paulo,72.661,91.192,8.675,9.466,1.342,3029,
SE,2802403,Gararu,42.215,56.518,1.903,8.61,0.753,2689,
SE,2802502,General Maynard,65.974,96.677,2.464,10.886,0.542,632,
SE,2802601,Gracho Cardoso,58.188,70.412,1.039,10.995,0.25,1397,
SE,2802700,Ilha das Flores,64.731,91.669,1.905,6.827,0.205,1894,
SE,2802809,Indiaroba,37.915,83.108,1.669,4.742,0.506,2868,
SE,2802908,Itabaiana,74.385,97.48,16.278,14.074,2.456,20101,
SE,2803005,Itabaianinha,47.469,67.568,4.179,9.216,0.964,8054,
SE,2803104,Itabi,79.251,79.218,5.72,10.124,1.327,1395,
SE,2803203,Itaporanga d'Ajuda,47.378,93.378,2.935,10.452,0.763,5864,
SE,2803302,Japaratuba,61.33,90.555,4.131,12.052,1.143,3536,
SE,2803401,Japoatã,57.546,91.987,0.366,8.334,0.365,3025,
SE,2803500,Lagarto,61.384,92.993,11.519,13.088,1.298,21143,
SE,2803609,Laranjeiras,62.677,98.431,6.354,10.861,1.023,5395,
SE,2803708,Macambira,51.555,95.584,3.782,8.168,0.652,1537,
SE,2803807,Malhada dos Bois,69.542,94.102,2.033,10.574,0.689,765,
SE,2803906,Malhador,57.744,94.439,2.719,11.693,1.506,2884,
SE,2804003,Maruim,57.829,98.533,3.306,9.055,1.265,3633,
SE,2804102,Moita Bonita,41.134,96.805,2.975,9.544,1.319,2814,
SE,2804201,Monte Alegre de Sergipe,64.655,66.098,0.884,9.308,0.456,2735,
SE,2804300,Muribeca,60.326,94.832,3.309,8.249,0.541,1662,
SE,2804409,Neópolis,66.03,94.797,4.323,10.974,1.862,4354,
SE,2804458,Nossa Senhora Aparecida,62.565,66.442,2.69,7.558,0.203,2117,
SE,2804508,Nossa Senhora da Glória,71.927,79.67,8.622,11.002,1.617,6774,
SE,2804607,Nossa Senhora das Dores,58.873,93.688,3.163,10.927,0.878,5600,
SE,2804706,Nossa Senhora de Lourdes,71.703,89.719,1.565,7.581,0.874,1460,
SE,2804805,Nossa Senhora do Socorro,89.253,99.442,6.661,13.349,1.401,33135,
SE,2804904,Pacatuba,35.714,77.401,0.419,6.327,0.157,2630,
SE,2805000,Pedra Mole,54.706,88.951,3.692,10.402,0.539,689,
SE,2805109,Pedrinhas,51.868,90.842,2.669,10.781,0.662,1837,
SE,2805208,Pinhão,50.936,86.007,2.211,9.813,0.623,1343,
SE,2805307,Pirambu,74.45,95.638,2.269,11.548,0.179,1706,
SE,2805406,Poço Redondo,52.98,56.678,0.29,6.914,0.595,5664,
SE,2805505,Poço Verde,46.968,73.894,2.49,9.222,0.707,5085,
SE,2805604,Porto da Folha,61.717,66.704,1.99,7.31,0.807,5855,
SE,2805703,Propriá,83.833,98.548,30.141,15.217,3.587,6886,
SE,2805802,Riachão do Dantas,34.066,73.511,2.325,10.58,1.154,4347,
SE,2805901,Riachuelo,74.551,97.27,5.561,8.557,1.371,1897,
SE,2806008,Ribeirópolis,66.593,90.58,9.048,13.02,1.507,4194,
SE,2806107,Rosário do Catete,80.352,97.863,7.533,11.708,1.294,1725,
SE,2806206,Salgado,48.907,89.099,6.778,16.232,2.369,4459,
SE,2806305,Santa Luzia do Itanhy,24.308,85.707,0.771,4.638,0.505,3073,
SE,2806404,Santana do São Francisco,70.395,94.526,2.693,3.661,0.534,1356,
SE,2806503,Santa Rosa de Lima,56.273,89.297,1.061,5.603,0.839,915,
SE,2806602,Santo Amaro das Brotas,66.535,95.379,5.047,8.308,0.923,2564,
SE,2806701,São Cristóvão,80.12,97.115,13.721,18.41,2.561,16044,
SE,2806800,São Domingos,55.86,96.834,1.384,6.119,0.569,2415,
SE,2806909,São Francisco,79.851,95.389,2.38,11.865,0.524,674,
SE,2807006,São Miguel do Aleixo,40.878,83.181,1.423,8.981,0.703,874,
SE,2807105,Simão Dias,46.791,89.469,6.034,9.395,1.694,9520,
SE,2807204,Siriri,47.231,95.474,2.566,8.426,0.38,1647,
SE,2807303,Telha,86.526,95.277,3.229,11.063,0.748,646,
SE,2807402,Tobias Barreto,61.43,78.167,5.681,10.137,1.465,11159,
SE,2807501,Tomar do Geru,36.545,62.117,0.343,9.021,0.06,2886,
SE,2807600,Umbaúba,44.155,94.533,3.392,10.636,1.286,4534,
SP,3500105,Adamantina,97.995,99.379,69.92,56.351,14.73,10180,
SP,3500204,Adolfo,99.628,99.918,25.877,43.621,4.966,1079,
SP,3500303,Aguaí,99.112,99.765,48.47,44.847,8.003,7986,
SP,3500402,Águas da Prata,99.184,99.946,37.391,52.571,11.739,2163,
SP,3500501,Águas de Lindóia,99.374,99.576,39.77,54.589,12.267,4776,
SP,3500550,Águas de Santa Bárbara,97.037,98.903,34.974,52.669,8.353,1540,
SP,3500600,Águas de São Pedro,100,99.939,72.118,71.341,37.331,630,
SP,3500709,Agudos,96.349,99.615,30.822,48.397,9.345,8787,
SP,3500758,Alambari,95.581,98.644,15.759,37.874,4.119,978,
SP,3500808,Alfredo Marcondes,96.667,98.639,32.948,44.298,5.592,1111,
SP,3500907,Altair,98.051,99.675,23.122,44.338,4.054,1012,
SP,3501004,Altinópolis,99.695,99.83,49.544,51.978,5.806,4364,
SP,3501103,Alto Alegre,98.253,99.907,31.013,44.276,3.737,1279,
SP,3501152,Alumínio,93.894,99.429,42.642,50.361,14.51,4098,
SP,3501202,Álvares Florence,97.978,99.703,31.991,53.998,3.292,1342,
SP,3501301,Álvares Machado,96.884,99.355,17.399,44.853,6.849,6567,
SP,3501400,Álvaro de Carvalho,92.691,98.694,20.235,36.147,3.94,1702,
SP,3501509,Alvinlândia,96.226,99.775,20.748,34.152,4.325,743,
SP,3501608,Americana,99.627,99.977,62.075,62.756,20.864,53101,
SP,3501707,Américo Brasiliense,99.436,99.963,35.061,44.066,9.403,7508,
SP,3501806,Américo de Campos,99.214,99.882,38.299,49.132,5.294,1786,
SP,3501905,Amparo,99.344,99.85,53.42,60.346,16.804,17096,
SP,3502002,Analândia,99.898,99.882,29.116,55.1,7.809,999,
SP,3502101,Andradina,97.442,99.431,59.628,47.24,11.233,17200,
SP,3502200,Angatuba,94.001,99.189,11.839,42.672,6.624,5487,
SP,3502309,Anhembi,98.254,99.039,26.874,45.313,4.639,1344,
SP,3502408,Anhumas,96.868,98.828,20.661,37.006,3.356,991,
SP,3502507,Aparecida,98.242,99.891,60.12,40.842,12.404,9494,
SP,3502606,Aparecida d'Oeste,98.763,99.694,29.657,44.659,2.894,1552,
SP,3502705,Apiaí,83.694,92.861,25.543,28.083,7.274,7013,
SP,3502754,Araçariguama,96.153,99.324,33.752,45.119,7.301,2941,
SP,3502804,Araçatuba,99.207,99.702,67.7,52.502,15.471,50251,
SP,3502903,Araçoiaba da Serra,96.685,99.698,25.825,53.165,11.513,5635,
SP,3503000,Aramina,99.06,99.628,48.174,45.168,5.452,1395,
SP,3503109,Arandu,97.152,99.497,16.339,43.826,4.221,1588,
SP,3503158,Arapeí,96.106,93.033,18.591,24.858,2.852,719,
SP,3503208,Araraquara,99.511,99.882,68.639,60.054,22.089,54989,
SP,3503307,Araras,99.507,99.908,48.646,63.466,16.367,29369,
SP,3503356,Arco-Íris,95.041,99.324,18.968,42.078,1.404,607,
SP,3503406,Arealva,99.217,99.843,28.216,53.386,5.811,2198,
SP,3503505,Areias,89.678,94.961,20.492,27.22,4.344,953,
SP,3503604,Areiópolis,97.955,99.741,11.253,36.734,3.269,2644,
